model_name,index,batch_size,optimizer,learning_rate,train_loss,train_accuracy,train_precision_macro_avg,train_recall_macro_avg,train_f1_score_macro_avg,val_loss,val_accuracy,val_precision_macro_avg,val_recall_macro_avg,val_f1_score_macro_avg
rajpurkar,0,16,sgd,0.001,0.5322818756103516,0.4847443103790283,0.4823104042899895,0.2240186781330571,0.1677889782381917,0.5354182720184326,0.4818092286586761,0.719725812297914,0.2224840554604905,0.1624421690445435
ribeiro,1,16,sgd,0.001,0.2868403494358063,0.7517957091331482,0.7974465097123682,0.588801780056192,0.6534013151140281,0.3268467783927917,0.7246804237365723,0.7459247763190228,0.5407842063771486,0.5985716151621312
rajpurkar,2,16,sgd,0.01,0.2619448602199554,0.7531462907791138,0.821915488878407,0.633991767039815,0.6836248560778239,0.3210518658161163,0.7217305898666382,0.7703948513421797,0.587202279059328,0.6321888978494842
ribeiro,3,16,sgd,0.01,0.2292349934577942,0.7755540609359741,0.7931538863656343,0.6679706469806268,0.7119997697584765,0.2836777567863464,0.7507374882698059,0.7354174299338059,0.6095614856582084,0.6520748486248233
rajpurkar,4,16,sgd,0.1,0.1746242195367813,0.7695377469062805,0.869087870545419,0.7330020495360839,0.7699451733005731,0.33177050948143,0.6696165204048157,0.7188377645934886,0.5851820495545866,0.6182745566462846
ribeiro,5,16,sgd,0.1,0.120403341948986,0.8472588658332825,0.9222392625079324,0.8041448988728984,0.8543399614441249,0.3264480829238891,0.7340216040611267,0.7511117336391033,0.6111749411798406,0.6649237010977417
rajpurkar,6,16,rmsprop,0.001,0.2045502960681915,0.7918840646743774,0.8446766616718593,0.6947136578257002,0.7501024822974091,0.2626994848251343,0.7571288347244263,0.775866496911661,0.6278730739486174,0.6781774600237893
ribeiro,7,16,rmsprop,0.001,0.2498902231454849,0.7567683458328247,0.8311163857642067,0.6318471334457609,0.6885458471298365,0.2979283928871155,0.719763994216919,0.7842806678213291,0.5872154637624428,0.6393056930387018
rajpurkar,8,16,rmsprop,0.01,0.2061384320259094,0.8056356906890869,0.8556493948244149,0.6876599254678515,0.7370013684538729,0.2645033895969391,0.7620452046394348,0.7960975305747693,0.6252823704999411,0.6704607180915174
ribeiro,9,16,rmsprop,0.01,0.249016985297203,0.7826754450798035,0.7705922719376623,0.6740062887218206,0.713415147039371,0.2752498090267181,0.7581120729446411,0.7357131818760034,0.6402173854767076,0.6791667556139999
rajpurkar,10,16,rmsprop,0.1,0.5336403846740723,0.4626435041427612,0.0768518513473079,0.0005331065548531,0.0010583985905647,0.5310319066047668,0.462635189294815,0.2499999912500003,0.0023667065542084,0.0046889952122845
ribeiro,11,16,rmsprop,0.1,0.3367568552494049,0.7421572804450989,0.476145753175032,0.4233107263054037,0.4460947201935027,0.3458359241485595,0.7423795461654663,0.4817663233542544,0.4174669928939284,0.444542608590129
rajpurkar,12,16,adam,0.001,0.1912373304367065,0.7961814999580383,0.8505473314060247,0.7210698790005361,0.7710735225565802,0.260424256324768,0.755162239074707,0.7858705153960599,0.6527305617853705,0.702223625181208
ribeiro,13,16,adam,0.001,0.209798514842987,0.7801584005355835,0.8575421812679498,0.6780642227141118,0.7373069860205701,0.2713671624660492,0.7291052341461182,0.7903765424646698,0.6117531990821575,0.669054419654534
rajpurkar,14,16,adam,0.01,0.1866033971309662,0.8192031383514404,0.866090551325625,0.7232801119483263,0.7810265150697868,0.2548332810401916,0.7630285024642944,0.7776585398040123,0.6363603334780199,0.6910125231072942
ribeiro,15,16,adam,0.01,0.2253061980009079,0.7834734916687012,0.8237962496904873,0.6661155009929729,0.7243259448010424,0.2591617703437805,0.7689282298088074,0.7868761342545338,0.6129056667184137,0.668979637297476
rajpurkar,16,16,adam,0.1,0.5397503972053528,0.4639941155910492,0.1799783538832031,0.0013525981562032,0.0026639218924448,0.5321139693260193,0.4641101360321045,0.0971428555265306,0.0017071759253446,0.0033513805677817
ribeiro,17,16,adam,0.1,0.3783035576343536,0.6570078134536743,0.3484244315755132,0.3020896820158137,0.2755363635084648,0.3797601163387298,0.6578171253204346,0.2611145626281837,0.3001501127482628,0.2746288934765413
rajpurkar,18,32,sgd,0.001,0.4148750305175781,0.6811959147453308,0.7358984190058291,0.4796602264833853,0.5250640766874797,0.4466408491134643,0.6676499247550964,0.7200735445757278,0.4547664558338916,0.4928489459644155
ribeiro,19,32,sgd,0.001,0.2872410714626312,0.7481122016906738,0.7949400017760968,0.6029945695609189,0.660520125987688,0.332641065120697,0.7222222089767456,0.7460361223981978,0.5595847970770187,0.6113005433588962
