model_name,index,batch_size,optimizer,learning_rate,time_start,time_end,train_loss,train_accuracy,train_precision_macro_avg,train_recall_macro_avg,train_f1_score_macro_avg,val_loss,val_accuracy,val_precision_macro_avg,val_recall_macro_avg,val_f1_score_macro_avg,test_loss,test_accuracy,test_precision_macro_avg,test_recall_macro_avg,test_f1_score_macro_avg
rajpurkar,0,16,sgd,0.001,2023-09-24T13:32:07.480423,2023-09-24T13:38:47.946096,0.5030345320701599,0.5095463395118713,0.5090749597788771,0.2371993304459777,0.2055729228728476,0.5179800391197205,0.4995083510875702,0.4572500374758296,0.2283051518272456,0.1865445515531817,0.5169913172721863,0.4965853691101074,0.4230969619085694,0.2256065238320047,0.1841139235252201
ribeiro,1,16,sgd,0.001,2023-09-24T13:39:06.132249,2023-09-24T13:48:45.374208,0.3184715807437897,0.7322119474411011,0.7873000564022248,0.5722743039071452,0.6303094569272665,0.3645256161689758,0.7094395160675049,0.7381463065048088,0.5385170953667859,0.5895713778137871,0.3735799193382263,0.712195098400116,0.7426214819980641,0.5289971795532662,0.5826161489908014
rajpurkar,2,16,sgd,0.01,2023-09-24T13:48:56.370831,2023-09-24T14:01:46.139291,0.2109698355197906,0.8020750284194946,0.8642402458369862,0.6637830059087284,0.716964178044595,0.3163348436355591,0.7418879270553589,0.7580451957543803,0.5680365067965312,0.6141094221820838,0.3235727548599243,0.7512195110321045,0.7780130602888414,0.573243962734047,0.618082446060874
ribeiro,3,16,sgd,0.01,2023-09-24T14:02:02.861440,2023-09-24T14:05:16.043539,0.2519569396972656,0.7689852118492126,0.8096910772972314,0.636995410662418,0.6961049782171628,0.309529036283493,0.737463116645813,0.7498970009737759,0.5802409523965675,0.6341493771623588,0.3181867897510528,0.7346341609954834,0.7173967026684676,0.5649528376025855,0.6146453636120593
rajpurkar,4,16,sgd,0.1,2023-09-24T14:05:26.656810,2023-09-24T14:11:47.433044,0.2812068164348602,0.7273006439208984,0.8097699203708368,0.5930306132317019,0.6273563968737987,0.3383835554122925,0.6932153105735779,0.742650542866051,0.5490071575287455,0.5816926442964032,0.3439764976501465,0.6902438998222351,0.7497651071217207,0.5426463070030118,0.5731882533716274
ribeiro,5,16,sgd,0.1,2023-09-24T14:12:04.258641,2023-09-24T14:14:28.453465,0.2455616593360901,0.7776413559913635,0.8071794595347315,0.6511418877679378,0.7019276367219348,0.3228757083415985,0.7423795461654663,0.7436930728081472,0.5803903998764699,0.6250784505639191,0.3379159271717071,0.7297561168670654,0.722784095237756,0.5689695359605821,0.6087080563361145
rajpurkar,6,16,rmsprop,0.001,2023-09-24T14:14:39.119300,2023-09-24T14:23:27.240397,0.2276004999876022,0.7764135599136353,0.8112338447837427,0.6820494844799101,0.7377009147620684,0.2603439688682556,0.7556538581848145,0.765689286460145,0.6377297166655367,0.6918858874797866,0.2679951190948486,0.7536585330963135,0.763199807231756,0.630397669899442,0.6847397326499879
ribeiro,7,16,rmsprop,0.001,2023-09-24T14:23:43.831010,2023-09-24T14:25:56.130982,0.2633553445339203,0.7858063578605652,0.7605569973074882,0.6510034514883485,0.6920612854715877,0.2953958809375763,0.7561455368995667,0.7314330192287362,0.6146426789967998,0.6552402897308977,0.3188772797584533,0.7507317066192627,0.7094421698110926,0.5903822753321071,0.6319195674665574
rajpurkar,8,16,rmsprop,0.01,2023-09-24T14:26:06.653108,2023-09-24T14:41:34.050547,0.200797364115715,0.7621707916259766,0.8016226753048115,0.7151156489020487,0.7529398277817343,0.2762233912944793,0.7138643264770508,0.7230756187722112,0.6302410063825967,0.670506480754881,0.281857967376709,0.7209756374359131,0.7228536895172286,0.6312647268225693,0.6697439225272542
ribeiro,9,16,rmsprop,0.01,2023-09-24T14:41:50.882376,2023-09-24T14:44:24.826252,0.2432272136211395,0.789796769618988,0.8145155610442426,0.6567132186550867,0.7168615632207878,0.2734012305736542,0.7748278975486755,0.7774641190818936,0.6152284278394625,0.6727081116218192,0.282985657453537,0.764390230178833,0.7702228149537158,0.6107262788346981,0.6664396286967935
rajpurkar,10,16,rmsprop,0.1,2023-09-24T14:44:35.854014,2023-09-24T14:53:36.363014,0.4095873236656189,0.5655964016914368,0.3312935034008638,0.4220494036699305,0.3648134422919504,0.4124303460121155,0.5663716793060303,0.3369162997794893,0.4260579610181892,0.3720754965284085,0.4241470396518707,0.5663414597511292,0.3247299322916763,0.4114766682705806,0.359537139669237
ribeiro,11,16,rmsprop,0.1,2023-09-24T14:53:53.206009,2023-09-24T14:59:49.961956,0.1901881247758865,0.8196942806243896,0.893508127495737,0.698474324945786,0.76784658069614,0.3062725961208343,0.7571288347244263,0.8090554901586904,0.6100610183811138,0.6770876769448146,0.3160732984542846,0.7463414669036865,0.7740019802104597,0.5925129660732074,0.6496575556087201
rajpurkar,12,16,adam,0.001,2023-09-24T15:00:00.477423,2023-09-24T15:13:15.665899,0.1714797019958496,0.8048990368843079,0.8491418599088918,0.749844740398131,0.7935147446296251,0.2652534544467926,0.7443461418151855,0.7634623657753106,0.6567631208672177,0.7027064389396909,0.2635038197040558,0.7546341419219971,0.7561771386383132,0.6518328891237362,0.6955233061719605
ribeiro,13,16,adam,0.001,2023-09-24T15:13:32.785166,2023-09-24T15:16:05.353512,0.2209909558296203,0.8021978139877319,0.85403655110129,0.6565494525335283,0.720736351089395,0.2739284932613373,0.7738446593284607,0.796292682515171,0.5933125282173135,0.6499448875741476,0.2826899886131286,0.7599999904632568,0.7832038846188526,0.5860353558672469,0.643086847685193
rajpurkar,14,16,adam,0.01,2023-09-24T15:16:16.097928,2023-09-24T15:30:36.282209,0.2152166068553924,0.7758610248565674,0.8331522952323904,0.7142832575871548,0.7654619901423353,0.2679513990879059,0.7281219363212585,0.7644613589920647,0.645783682461185,0.696215854707415,0.2733440399169922,0.7400000095367432,0.7646214258145753,0.6422093757361206,0.6924994667950021
ribeiro,15,16,adam,0.01,2023-09-24T15:30:53.617085,2023-09-24T15:34:49.761774,0.1956051886081695,0.7966725826263428,0.8240630554202657,0.7287721945060521,0.7722221575640787,0.2525593042373657,0.7645034193992615,0.7647739048567237,0.6635261751878629,0.7078062944926892,0.2612566351890564,0.7512195110321045,0.7534255702030095,0.6521434712159163,0.6958726304208498
rajpurkar,16,16,adam,0.1,2023-09-24T15:35:01.157412,2023-09-24T15:42:14.382356,0.5318525433540344,0.4630118608474731,0.0666666444444518,4.921259841308745e-05,9.835259402548498e-05,0.5304797887802124,0.4631268382072449,0.0,0.0,0.0,0.5301450490951538,0.46536585688591,0.0,0.0,0.0
ribeiro,17,16,adam,0.1,2023-09-24T15:42:31.642368,2023-09-24T15:48:25.478139,0.2817848026752472,0.7735281586647034,0.4889867736315236,0.4625039511668435,0.4752747726470026,0.3160876929759979,0.7472959756851196,0.4675170459860901,0.432903257396976,0.4491658162637531,0.3186717927455902,0.7482926845550537,0.4648807662867301,0.4340385112631143,0.4480820795492487
rajpurkar,18,32,sgd,0.001,2023-09-24T15:48:36.229423,2023-09-24T16:09:34.575166,0.3266242742538452,0.7241696715354919,0.7517843005016949,0.5360779354033091,0.5792304489022999,0.3534396290779114,0.7069813013076782,0.7155497506197925,0.5074806069847073,0.5435493159742173,0.3738118410110473,0.6985365748405457,0.7356394797677304,0.4952819294128333,0.5348246317666787
ribeiro,19,32,sgd,0.001,2023-09-24T16:09:51.678506,2023-09-24T16:22:14.580874,0.2693894505500793,0.7638283371925354,0.8063116654890978,0.6261894465500265,0.6829994232741929,0.3240702450275421,0.7335299849510193,0.7515679983376083,0.5682518947058675,0.6197212557325509,0.3336386084556579,0.7312195301055908,0.7391846105558335,0.5627225047983633,0.613530852055574
rajpurkar,20,32,sgd,0.01,2023-09-24T16:22:25.429751,2023-09-24T16:29:44.452322,0.2925798594951629,0.752225399017334,0.7563701541163705,0.5766282974201307,0.6116135490760068,0.3214775025844574,0.7310717701911926,0.7098987326462199,0.5469206254690446,0.579405168590424,0.3293114006519317,0.735609769821167,0.7206601995180184,0.5486501878811844,0.5850946729916402
ribeiro,21,32,sgd,0.01,2023-09-24T16:30:01.219329,2023-09-24T16:32:48.845335,0.2698164880275726,0.7761679887771606,0.8094339077031781,0.6062261458375917,0.66590112620326,0.3133215010166168,0.755162239074707,0.7639871307301795,0.5656350422665166,0.616872380303006,0.3255881071090698,0.7502439022064209,0.7547622653545039,0.5436538227873647,0.5969166827665304
rajpurkar,22,32,sgd,0.1,2023-09-24T16:32:59.709315,2023-09-24T16:38:59.867510,0.2824557423591614,0.7513659596443176,0.8191473607865951,0.5764493859876626,0.6212139632945413,0.3280001878738403,0.7266470193862915,0.7929521050451769,0.5313813109025544,0.5692135039690489,0.3400490581989288,0.7273170948028564,0.7648519633022557,0.5353099775634879,0.5700185614139492
ribeiro,23,32,sgd,0.1,2023-09-24T16:39:16.837265,2023-09-24T16:42:03.757617,0.1871234029531479,0.8095647096633911,0.8466868223512591,0.7347443049012599,0.7821610270042136,0.3041403293609619,0.7418879270553589,0.724295204669685,0.610496992207424,0.656319367609486,0.3138167262077331,0.7400000095367432,0.7188582683517126,0.6073851565253828,0.6502060768318929
rajpurkar,24,32,rmsprop,0.001,2023-09-24T16:42:14.849218,2023-09-24T16:54:21.377948,0.185678943991661,0.7918227314949036,0.8139395967951089,0.7386422147288656,0.7725988722407007,0.2685722410678863,0.7369714975357056,0.7417334227436988,0.6650866782867966,0.6998004413767233,0.2744640409946441,0.7424390316009521,0.739870143310478,0.6570328819935249,0.6922229719355129
ribeiro,25,32,rmsprop,0.001,2023-09-24T16:54:38.426168,2023-09-24T16:57:03.752590,0.211345374584198,0.7871569991111755,0.8262852874111914,0.6846743812538979,0.7415035912342598,0.2815049588680267,0.7443461418151855,0.7470793385051476,0.6080961130234189,0.66091877096759,0.2994624376296997,0.7439024448394775,0.7311676019555762,0.5934627730978156,0.6432833592641459
rajpurkar,26,32,rmsprop,0.01,2023-09-24T16:57:14.403141,2023-09-24T17:06:59.196983,0.2244810163974762,0.7883234024047852,0.8267755133754324,0.6856428342937033,0.7427184190890437,0.2643091082572937,0.7595870494842529,0.7746525372171167,0.6377991582713647,0.6921249519009314,0.2818153798580169,0.7663414478302002,0.7729466292835634,0.627195572123247,0.6815315246837205
ribeiro,27,32,rmsprop,0.01,2023-09-24T17:07:15.933009,2023-09-24T17:10:32.220944,0.242539033293724,0.7864816784858704,0.7518466688152895,0.6910010684271132,0.7172844286931288,0.2845449447631836,0.7605702877044678,0.7201397720813267,0.6498995342976821,0.6791092681981035,0.2848863899707794,0.7521951198577881,0.7031026039346557,0.6373571717099134,0.6645507341040723
rajpurkar,28,32,rmsprop,0.1,2023-09-24T17:10:43.525323,2023-09-24T17:41:46.350291,0.2204317897558212,0.7862975001335144,0.8414833296946116,0.6838435680251889,0.7437851162131387,0.2834143936634063,0.7315634489059448,0.7523676463392068,0.6182724751753096,0.6702492926732148,0.2850612103939056,0.7507317066192627,0.7504155118603397,0.6131442814345853,0.6653379049653765
ribeiro,29,32,rmsprop,0.1,2023-09-24T17:42:03.468729,2023-09-24T17:45:40.659926,0.3035273551940918,0.7403155565261841,0.8214753331204658,0.5481647855427452,0.6297171009276854,0.3283360004425049,0.7123894095420837,0.797878948611942,0.5023293672210771,0.58248064800907,0.3345412611961365,0.7029268145561218,0.773812937592796,0.5053679287048273,0.5811291716404386
rajpurkar,30,32,adam,0.001,2023-09-24T17:45:51.381938,2023-09-24T17:55:20.068713,0.2107912302017212,0.789060115814209,0.8247190923201131,0.6972678168225503,0.7504024320305658,0.2572923302650451,0.7586037516593933,0.7793302698349309,0.656240695743488,0.7068529477064831,0.2665378153324127,0.7614634037017822,0.759305944372155,0.6340721645034021,0.683543147651315
ribeiro,31,32,adam,0.001,2023-09-24T17:55:37.234435,2023-09-24T17:58:01.758333,0.2367618381977081,0.7483577728271484,0.8280460612390981,0.6706253382956326,0.7276393970222796,0.2822392880916595,0.7163225412368774,0.76031436324624,0.6157012057043214,0.6691382525499018,0.2947765588760376,0.7195122241973877,0.7609593545160459,0.6039628229818091,0.6595445364115485
rajpurkar,32,32,adam,0.01,2023-09-24T17:58:12.361337,2023-09-24T18:12:31.548632,0.1931474357843399,0.8041009306907654,0.861270818937054,0.699376267519608,0.758740089052564,0.255243569612503,0.752212405204773,0.7949091828500184,0.6341910864053055,0.6910237692009618,0.2616336345672607,0.7639024257659912,0.7924396320325868,0.6217200151511084,0.6806713016096665
ribeiro,33,32,adam,0.01,2023-09-24T18:12:49.084313,2023-09-24T18:16:51.720547,0.1898175626993179,0.7856221795082092,0.8291649276045862,0.7334744227706619,0.7768000658897598,0.2591831386089325,0.7305801510810852,0.7565690875843916,0.6504515754051106,0.6967713455923159,0.2616671323776245,0.7385365962982178,0.7585036444365258,0.6550301100487307,0.6994226034448138
rajpurkar,34,32,adam,0.1,2023-09-24T18:17:03.124507,2023-09-24T18:33:05.761799,0.2124378532171249,0.7977776527404785,0.8378459108811599,0.679731847774537,0.7419762468364971,0.2628413438796997,0.7590953707695007,0.7741692266138702,0.6223025173158142,0.6830056785470126,0.2713830769062042,0.7682926654815674,0.7747564194396757,0.6136289244880921,0.6747295529236619
ribeiro,35,32,adam,0.1,2023-09-24T18:33:23.007428,2023-09-24T18:38:01.974147,0.2935154438018799,0.76659095287323,0.7373966374526033,0.5681875111867791,0.625766436804198,0.3131802678108215,0.7517207264900208,0.7228330714024745,0.5371323620024111,0.5909131152706081,0.3125412464141845,0.7541463375091553,0.7339876295089243,0.5346918085180324,0.591606075214362
rajpurkar,36,64,sgd,0.001,2023-09-24T18:38:12.908732,2023-09-24T18:53:34.056949,0.3601066470146179,0.7093130350112915,0.7477726227320429,0.5049186364567401,0.5580697745900781,0.3880231380462646,0.6961652040481567,0.7557526709948721,0.4765721453414341,0.5261695568922914,0.40092334151268,0.6800000071525574,0.7449616855984356,0.4658303800761232,0.5196874739490612
ribeiro,37,64,sgd,0.001,2023-09-24T18:53:51.393201,2023-09-24T19:03:58.467242,0.2822112739086151,0.7527779340744019,0.7937706897893388,0.6033992239071375,0.6642343986678222,0.3198332786560058,0.7369714975357056,0.7456264130623648,0.5625721962321885,0.616399032413461,0.3338430821895599,0.7351219654083252,0.7160221293242017,0.540899539065172,0.5933623923966661
rajpurkar,38,64,sgd,0.01,2023-09-24T19:04:09.421341,2023-09-24T19:13:49.323972,0.2682514488697052,0.7734667658805847,0.8440274257817176,0.5967202400148743,0.6447489231410538,0.3260025382041931,0.737463116645813,0.7701828282862083,0.5460677441421424,0.5851995977322683,0.3334211707115173,0.7336585521697998,0.78546609373132,0.5483704997486724,0.591683373021388
ribeiro,39,64,sgd,0.01,2023-09-24T19:14:06.361442,2023-09-24T19:18:43.737629,0.2055381387472152,0.7949536442756653,0.8520404827238128,0.6860545283431876,0.7422295317335064,0.2902936637401581,0.7512291073799133,0.7690067872454736,0.6044565725482677,0.6571393280336318,0.2961355447769165,0.7424390316009521,0.7390608861134281,0.5956509173790618,0.641874160257255
rajpurkar,40,64,sgd,0.1,2023-09-24T19:18:54.555815,2023-09-24T19:25:31.746270,0.2878267168998718,0.7611271142959595,0.7901997421896664,0.6441255532718777,0.6892431401428866,0.3651242554187774,0.7305801510810852,0.7431576692864106,0.5932432648934564,0.6344987521045384,0.3799219727516174,0.7243902683258057,0.7290272745033556,0.5765705027508167,0.6149235081797055
ribeiro,41,64,sgd,0.1,2023-09-24T19:25:49.034266,2023-09-24T19:28:51.769443,0.166365846991539,0.812450110912323,0.8720834587120766,0.723576022730968,0.7665634840192047,0.3015914559364319,0.7384464144706726,0.7482816656424813,0.5972023834797466,0.6377589346048538,0.3062843680381775,0.72829270362854,0.7586164030167409,0.5949903949753327,0.6382138614971591
rajpurkar,42,64,rmsprop,0.001,2023-09-24T19:29:02.746630,2023-09-24T19:40:27.246051,0.1847976148128509,0.7959973216056824,0.8563490290758002,0.7089692745182715,0.7620326483163814,0.2626347243785858,0.74631267786026,0.7758613455113798,0.6323507956853871,0.6812052482152963,0.2689604759216308,0.7546341419219971,0.7721938027302955,0.6218735985980903,0.6722985015696
